Date,Open,Close,High,Low,Volume
2017-12-31 23:00:00,13853.0,13769.0,13899.0,13730.0,1005.3401952
2018-01-01 00:00:00,13763.0,13607.0,13788.0,13505.0,1450.46631948
2018-01-01 01:00:00,13621.0,13281.0,13655.0,13251.0,1410.71015832
2018-01-01 02:00:00,13280.0,13362.0,13440.0,13214.0,1227.43575356
2018-01-01 03:00:00,13363.0,13394.0,13591.0,13310.0,1064.9225893
2018-01-01 04:00:00,13393.0,13584.0,13584.0,13262.0,855.196647
2018-01-01 05:00:00,13584.0,13501.0,13608.0,13479.0,533.23706709
2018-01-01 06:00:00,13511.0,13781.0,13839.0,13435.0,1163.31981821
2018-01-01 07:00:00,13780.0,13617.0,13893.0,13603.0,968.11121273
2018-01-01 08:00:00,13616.0,13417.0,13751.0,13389.0,1339.96869456
2018-01-01 09:00:00,13417.0,13582.0,13622.0,13416.49288463,941.40289991
2018-01-01 10:00:00,13573.0,13543.0,13585.0,13427.0,473.34413736
2018-01-01 11:00:00,13543.0,13231.0,13550.0,13072.0,2311.44756364
2018-01-01 12:00:00,13234.0,13144.0,13265.0,13092.0,1002.09213392
2018-01-01 13:00:00,13143.07847833,13022.0,13162.0,12900.0,2005.99281689
2018-01-01 14:00:00,13022.0,13193.44429002,13200.0,12777.0,2352.14710532
2018-01-01 15:00:00,13171.0,13208.0,13290.0,13085.0,1229.5512874
2018-01-01 16:00:00,13208.0,12997.0,13209.0,12969.0,1042.42037913
2018-01-01 17:00:00,12999.0,12993.0,13177.0,12986.0,704.54712799
2018-01-01 18:00:00,12993.0,13105.0,13289.0,12950.00953353,1473.62034539
2018-01-01 19:00:00,13106.0,13249.0,13253.0,13050.0,785.69703752
2018-01-01 20:00:00,13249.0,13404.0,13499.0,13249.0,1556.90855858
2018-01-01 21:00:00,13404.0,13505.0,13662.0,13382.0,1718.76133474
2018-01-01 22:00:00,13505.0,13483.0,13637.0,13465.0,872.87098099
2018-01-01 23:00:00,13478.0,13376.0,13492.0,13341.0,1080.75758323
2018-01-02 00:00:00,13375.0,13817.0,13898.0,13373.0,2739.89531674
2018-01-02 01:00:00,13816.0,13611.0,13863.0,13609.0,1549.05819416
2018-01-02 02:00:00,13612.0,13550.0,13656.0,13416.0,2008.91297568
